GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_EST_VC13,Owner-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2000 to 2009
HC02_MOE_VC13,Owner-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2000 to 2009
HC03_EST_VC13,Renter-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 2000 to 2009
HC03_MOE_VC13,Renter-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 2000 to 2009
HC01_EST_VC14,Occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1980 to 1999
HC01_MOE_VC14,Occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1980 to 1999
HC02_EST_VC14,Owner-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1980 to 1999
HC02_MOE_VC14,Owner-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1980 to 1999
HC03_EST_VC14,Renter-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1980 to 1999
HC03_MOE_VC14,Renter-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1980 to 1999
HC01_EST_VC15,Occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1960 to 1979
HC01_MOE_VC15,Occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1960 to 1979
HC02_EST_VC15,Owner-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1960 to 1979
HC02_MOE_VC15,Owner-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1960 to 1979
HC03_EST_VC15,Renter-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1960 to 1979
HC03_MOE_VC15,Renter-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1960 to 1979
HC01_EST_VC16,Occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1940 to 1959
HC01_MOE_VC16,Occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1940 to 1959
HC02_EST_VC16,Owner-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1940 to 1959
HC02_MOE_VC16,Owner-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1940 to 1959
HC03_EST_VC16,Renter-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1940 to 1959
HC03_MOE_VC16,Renter-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1940 to 1959
