GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD50,Margin of Error; Total: - Moved from different county within same state:
HD01_VD51,Estimate; Total: - Moved from different county within same state: - 1 to 4 years
HD02_VD51,Margin of Error; Total: - Moved from different county within same state: - 1 to 4 years
HD01_VD52,Estimate; Total: - Moved from different county within same state: - 5 to 17 years
HD02_VD52,Margin of Error; Total: - Moved from different county within same state: - 5 to 17 years
HD01_VD53,Estimate; Total: - Moved from different county within same state: - 18 and 19 years
HD02_VD53,Margin of Error; Total: - Moved from different county within same state: - 18 and 19 years
HD01_VD54,Estimate; Total: - Moved from different county within same state: - 20 to 24 years
HD02_VD54,Margin of Error; Total: - Moved from different county within same state: - 20 to 24 years
HD01_VD55,Estimate; Total: - Moved from different county within same state: - 25 to 29 years
HD02_VD55,Margin of Error; Total: - Moved from different county within same state: - 25 to 29 years
HD01_VD56,Estimate; Total: - Moved from different county within same state: - 30 to 34 years
HD02_VD56,Margin of Error; Total: - Moved from different county within same state: - 30 to 34 years
HD01_VD57,Estimate; Total: - Moved from different county within same state: - 35 to 39 years
HD02_VD57,Margin of Error; Total: - Moved from different county within same state: - 35 to 39 years
HD01_VD58,Estimate; Total: - Moved from different county within same state: - 40 to 44 years
HD02_VD58,Margin of Error; Total: - Moved from different county within same state: - 40 to 44 years
HD01_VD59,Estimate; Total: - Moved from different county within same state: - 45 to 49 years
HD02_VD59,Margin of Error; Total: - Moved from different county within same state: - 45 to 49 years
HD01_VD60,Estimate; Total: - Moved from different county within same state: - 50 to 54 years
HD02_VD60,Margin of Error; Total: - Moved from different county within same state: - 50 to 54 years
HD01_VD61,Estimate; Total: - Moved from different county within same state: - 55 to 59 years
HD02_VD61,Margin of Error; Total: - Moved from different county within same state: - 55 to 59 years
HD01_VD62,Estimate; Total: - Moved from different county within same state: - 60 to 64 years
HD02_VD62,Margin of Error; Total: - Moved from different county within same state: - 60 to 64 years
HD01_VD63,Estimate; Total: - Moved from different county within same state: - 65 to 69 years
HD02_VD63,Margin of Error; Total: - Moved from different county within same state: - 65 to 69 years
HD01_VD64,Estimate; Total: - Moved from different county within same state: - 70 to 74 years
HD02_VD64,Margin of Error; Total: - Moved from different county within same state: - 70 to 74 years
HD01_VD65,Estimate; Total: - Moved from different county within same state: - 75 years and over
HD02_VD65,Margin of Error; Total: - Moved from different county within same state: - 75 years and over
HD01_VD66,Estimate; Total: - Moved from different state:
HD02_VD66,Margin of Error; Total: - Moved from different state:
HD01_VD67,Estimate; Total: - Moved from different state: - 1 to 4 years
HD02_VD67,Margin of Error; Total: - Moved from different state: - 1 to 4 years
HD01_VD68,Estimate; Total: - Moved from different state: - 5 to 17 years
HD02_VD68,Margin of Error; Total: - Moved from different state: - 5 to 17 years
HD01_VD69,Estimate; Total: - Moved from different state: - 18 and 19 years
HD02_VD69,Margin of Error; Total: - Moved from different state: - 18 and 19 years
HD01_VD70,Estimate; Total: - Moved from different state: - 20 to 24 years
HD02_VD70,Margin of Error; Total: - Moved from different state: - 20 to 24 years
HD01_VD71,Estimate; Total: - Moved from different state: - 25 to 29 years
HD02_VD71,Margin of Error; Total: - Moved from different state: - 25 to 29 years
HD01_VD72,Estimate; Total: - Moved from different state: - 30 to 34 years
HD02_VD72,Margin of Error; Total: - Moved from different state: - 30 to 34 years
HD01_VD73,Estimate; Total: - Moved from different state: - 35 to 39 years
HD02_VD73,Margin of Error; Total: - Moved from different state: - 35 to 39 years
HD01_VD74,Estimate; Total: - Moved from different state: - 40 to 44 years
HD02_VD74,Margin of Error; Total: - Moved from different state: - 40 to 44 years
HD01_VD75,Estimate; Total: - Moved from different state: - 45 to 49 years
HD02_VD75,Margin of Error; Total: - Moved from different state: - 45 to 49 years
HD01_VD76,Estimate; Total: - Moved from different state: - 50 to 54 years
HD02_VD76,Margin of Error; Total: - Moved from different state: - 50 to 54 years
HD01_VD77,Estimate; Total: - Moved from different state: - 55 to 59 years
HD02_VD77,Margin of Error; Total: - Moved from different state: - 55 to 59 years
HD01_VD78,Estimate; Total: - Moved from different state: - 60 to 64 years
HD02_VD78,Margin of Error; Total: - Moved from different state: - 60 to 64 years
HD01_VD79,Estimate; Total: - Moved from different state: - 65 to 69 years
HD02_VD79,Margin of Error; Total: - Moved from different state: - 65 to 69 years
HD01_VD80,Estimate; Total: - Moved from different state: - 70 to 74 years
HD02_VD80,Margin of Error; Total: - Moved from different state: - 70 to 74 years
HD01_VD81,Estimate; Total: - Moved from different state: - 75 years and over
HD02_VD81,Margin of Error; Total: - Moved from different state: - 75 years and over
HD01_VD82,Estimate; Total: - Moved from abroad:
HD02_VD82,Margin of Error; Total: - Moved from abroad:
HD01_VD83,Estimate; Total: - Moved from abroad: - 1 to 4 years
HD02_VD83,Margin of Error; Total: - Moved from abroad: - 1 to 4 years
HD01_VD84,Estimate; Total: - Moved from abroad: - 5 to 17 years
HD02_VD84,Margin of Error; Total: - Moved from abroad: - 5 to 17 years
HD01_VD85,Estimate; Total: - Moved from abroad: - 18 and 19 years
HD02_VD85,Margin of Error; Total: - Moved from abroad: - 18 and 19 years
HD01_VD86,Estimate; Total: - Moved from abroad: - 20 to 24 years
HD02_VD86,Margin of Error; Total: - Moved from abroad: - 20 to 24 years
HD01_VD87,Estimate; Total: - Moved from abroad: - 25 to 29 years
HD02_VD87,Margin of Error; Total: - Moved from abroad: - 25 to 29 years
HD01_VD88,Estimate; Total: - Moved from abroad: - 30 to 34 years
HD02_VD88,Margin of Error; Total: - Moved from abroad: - 30 to 34 years
HD01_VD89,Estimate; Total: - Moved from abroad: - 35 to 39 years
HD02_VD89,Margin of Error; Total: - Moved from abroad: - 35 to 39 years
HD01_VD90,Estimate; Total: - Moved from abroad: - 40 to 44 years
HD02_VD90,Margin of Error; Total: - Moved from abroad: - 40 to 44 years
HD01_VD91,Estimate; Total: - Moved from abroad: - 45 to 49 years
HD02_VD91,Margin of Error; Total: - Moved from abroad: - 45 to 49 years
HD01_VD92,Estimate; Total: - Moved from abroad: - 50 to 54 years
HD02_VD92,Margin of Error; Total: - Moved from abroad: - 50 to 54 years
HD01_VD93,Estimate; Total: - Moved from abroad: - 55 to 59 years
HD02_VD93,Margin of Error; Total: - Moved from abroad: - 55 to 59 years
HD01_VD94,Estimate; Total: - Moved from abroad: - 60 to 64 years
HD02_VD94,Margin of Error; Total: - Moved from abroad: - 60 to 64 years
HD01_VD95,Estimate; Total: - Moved from abroad: - 65 to 69 years
HD02_VD95,Margin of Error; Total: - Moved from abroad: - 65 to 69 years
HD01_VD96,Estimate; Total: - Moved from abroad: - 70 to 74 years
HD02_VD96,Margin of Error; Total: - Moved from abroad: - 70 to 74 years
HD01_VD97,Estimate; Total: - Moved from abroad: - 75 years and over
HD02_VD97,Margin of Error; Total: - Moved from abroad: - 75 years and over
