GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37
Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Margin of Error; Population 5 years and over,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Population 5 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Population 5 years and over",Total; Estimate; Speak only English,Total; Margin of Error; Speak only English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak only English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak only English",Total; Estimate; Speak a language other than English,Total; Margin of Error; Speak a language other than English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak a language other than English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English",Total; Estimate; Speak a language other than English - Spanish or Spanish Creole,Total; Margin of Error; Speak a language other than English - Spanish or Spanish Creole,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak a language other than English - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak a language other than English - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English - Spanish or Spanish Creole",Total; Estimate; Speak a language other than English - Other Indo-European languages,Total; Margin of Error; Speak a language other than English - Other Indo-European languages,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak a language other than English - Other Indo-European languages","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak a language other than English - Other Indo-European languages","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English - Other Indo-European languages","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English - Other Indo-European languages",Total; Estimate; Speak a language other than English - Asian and Pacific Island languages,Total; Margin of Error; Speak a language other than English - Asian and Pacific Island languages,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak a language other than English - Asian and Pacific Island languages","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak a language other than English - Asian and Pacific Island languages","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English - Asian and Pacific Island languages","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English - Asian and Pacific Island languages",Total; Estimate; Speak a language other than English - Other languages,Total; Margin of Error; Speak a language other than English - Other languages,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak a language other than English - Other languages","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak a language other than English - Other languages","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English - Other languages","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English - Other languages",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 5-17 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 18-64 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish or Spanish Creole - 65 years and over",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 5-17 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 18-64 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other Indo-European languages - 65 years and over",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 5-17 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 18-64 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Asian and Pacific Island languages - 65 years and over",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 5-17 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 18-64 years",Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over,"Percent of specified language speakers  - Speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Other languages - 65 years and over",Total; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over,Total; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over,"Percent of specified language speakers  - Speak English ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over",Total; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak only English,Total; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak only English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak only English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak only English",Total; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English,Total; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English",Total; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Spanish or Spanish Creole,Total; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Spanish or Spanish Creole,"Percent of specified language speakers  - Speak English ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Spanish or Spanish Creole","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Spanish or Spanish Creole",Total; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Other languages,Total; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Other languages,"Percent of specified language speakers  - Speak English ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Other languages","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Other languages","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Other languages","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; CITIZENS 18 YEARS AND OVER - All citizens 18 years and over - Speak a language other than English - Other languages",Total; Estimate; PERCENT IMPUTED - Language status,Total; Margin of Error; PERCENT IMPUTED - Language status,"Percent of specified language speakers  - Speak English ""very well""; Estimate; PERCENT IMPUTED - Language status","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; PERCENT IMPUTED - Language status","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; PERCENT IMPUTED - Language status","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; PERCENT IMPUTED - Language status",Total; Estimate; PERCENT IMPUTED - Language status (speak a language other than English),Total; Margin of Error; PERCENT IMPUTED - Language status (speak a language other than English),"Percent of specified language speakers  - Speak English ""very well""; Estimate; PERCENT IMPUTED - Language status (speak a language other than English)","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; PERCENT IMPUTED - Language status (speak a language other than English)","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; PERCENT IMPUTED - Language status (speak a language other than English)","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; PERCENT IMPUTED - Language status (speak a language other than English)",Total; Estimate; PERCENT IMPUTED - Ability to speak English,Total; Margin of Error; PERCENT IMPUTED - Ability to speak English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; PERCENT IMPUTED - Ability to speak English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; PERCENT IMPUTED - Ability to speak English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; PERCENT IMPUTED - Ability to speak English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; PERCENT IMPUTED - Ability to speak English"
0400000US01,01,Alabama,4558217,2782,98.0,0.1,2.0,0.1,95.1,0.2,(X),(X),(X),(X),4.9,0.2,58.5,2.2,41.5,2.2,3.1,0.1,56.1,2.8,43.9,2.8,0.7,0.1,78.5,3.6,21.5,3.6,0.8,0.1,47.2,5.6,52.8,5.6,0.2,0.1,71.3,9.6,28.7,9.6,142689,6364,56.1,2.8,43.9,2.8,34690,2916,70.1,5.1,29.9,5.1,101311,5204,51.2,3.1,48.8,3.1,6688,1526,58.3,11.3,41.7,11.3,32475,3653,78.5,3.6,21.5,3.6,2901,1006,91.2,8.6,8.8,8.6,22553,3027,75.7,4.6,24.3,4.6,7021,1279,82.4,7.6,17.6,7.6,37609,3161,47.2,5.6,52.8,5.6,5676,1042,76.8,8.5,23.2,8.5,28809,2906,41.3,6.0,58.7,6.0,3124,864,47.6,16.8,52.4,16.8,9712,2193,71.3,9.6,28.7,9.6,934,571,88.0,15.5,12.0,15.5,8311,1912,69.8,11.1,30.2,11.1,467,255,64.0,30.4,36.0,30.4,3647817,6080,99.3,0.1,0.7,0.1,97.3,0.2,(X),(X),(X),(X),2.7,0.2,72.7,3.1,27.3,3.1,1.6,0.1,74.7,3.4,25.3,3.4,1.1,0.1,69.9,5.3,30.1,5.3,6.5,(X),(X),(X),(X),(X),5.7,(X),(X),(X),(X),(X),6.4,(X),(X),(X),(X),(X)
