,A1,A4,A3,A5,A2,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07
Alabama,16.8,15.7,32.4,7.3,27.9,4558217.0,95.1,4.9,3.1,0.7,0.8,0.2
Alaska,21.1,9.6,30.3,3.8,35.2,683324.0,83.4,16.6,3.3,2.6,5.6,5.1
Arizona,19.2,14.6,30.4,4.5,31.4,6298821.0,73.0,27.0,20.6,2.0,2.0,2.4
Arkansas,15.3,16.0,32.6,7.5,28.7,2775973.0,93.1,6.9,5.1,0.6,1.1,0.1
California,20.5,13.5,29.9,4.6,31.5,36290808.0,56.1,43.9,28.8,4.4,9.7,1.0
Colorado,21.2,10.1,29.5,3.1,36.2,5023808.0,82.8,17.2,12.0,2.4,1.9,1.0
Connecticut,23.4,11.3,27.5,3.0,34.8,3407815.0,78.2,21.8,11.4,7.1,2.4,0.8
Delaware,18.9,12.1,32.9,3.5,32.6,879604.0,87.0,13.0,6.9,2.6,2.4,1.0
District of Columbia,26.0,9.4,25.1,3.5,36.0,616130.0,82.2,17.8,8.6,4.9,2.1,2.2
Florida,20.7,14.2,31.2,5.1,28.8,18815725.0,71.7,28.3,20.9,5.2,1.6,0.6
Georgia,19.0,13.1,31.6,5.7,30.6,9442904.0,86.4,13.6,8.0,2.5,2.3,0.8
Hawaii,20.6,11.2,36.1,3.3,28.8,1328554.0,74.8,25.2,1.9,1.1,21.8,0.4
Idaho,20.7,9.4,29.8,3.7,36.4,1522757.0,89.7,10.3,7.8,1.1,1.0,0.5
Illinois,18.5,13.6,32.4,3.8,31.8,12091454.0,77.4,22.6,13.3,5.5,2.8,1.1
Indiana,15.6,13.4,34.9,5.5,30.7,6178831.0,92.1,7.9,4.4,1.9,1.2,0.4
Iowa,18.5,10.4,31.2,3.2,36.8,2913555.0,92.8,7.2,3.8,1.4,1.4,0.6
Kansas,18.6,11.7,31.2,3.8,34.8,2704673.0,88.7,11.3,7.5,1.3,1.9,0.6
Kentucky,15.5,15.9,30.8,8.4,29.4,4138825.0,94.8,5.2,2.5,1.4,0.8,0.6
Louisiana,19.1,14.8,30.5,6.9,28.7,4344222.0,91.6,8.4,3.7,3.2,1.2,0.4
Maine,18.9,10.9,28.9,4.2,37.1,1267172.0,93.2,6.8,0.9,4.3,0.9,0.8
Maryland,21.4,11.5,29.9,2.7,34.6,5609124.0,82.9,17.1,7.1,4.7,3.7,1.7
Massachusetts,24.0,10.5,27.0,4.0,34.5,6379441.0,77.4,22.6,8.6,8.5,4.1,1.5
Michigan,15.6,11.8,32.8,5.0,34.8,9340973.0,90.8,9.2,2.9,2.7,1.6,2.0
Minnesota,20.2,9.3,30.3,2.7,37.5,5109770.0,88.9,11.1,3.6,2.0,3.3,2.1
Mississippi,16.0,14.5,33.7,7.5,28.3,2802072.0,96.3,3.7,2.4,0.5,0.5,0.3
Missouri,18.0,11.9,31.1,5.0,34.0,5691365.0,94.4,5.6,2.3,1.7,1.1,0.5
Montana,20.2,11.1,30.0,4.3,34.3,963804.0,96.1,3.9,1.5,1.2,0.5,0.8
Nebraska,19.3,9.9,31.1,3.3,36.5,1751135.0,89.4,10.6,7.3,1.1,1.5,0.8
Nevada,18.6,13.8,33.9,4.7,29.1,2663364.0,69.3,30.7,21.4,2.4,6.0,0.8
New Hampshire,21.1,9.8,26.3,3.9,38.9,1261731.0,92.5,7.5,1.9,4.0,1.3,0.3
New Jersey,20.5,13.2,30.6,3.7,32.1,8406007.0,69.4,30.6,15.9,8.2,4.9,1.5
New Mexico,17.4,14.5,34.0,6.2,27.9,1950156.0,63.2,36.8,29.1,1.3,1.0,5.5
New York,19.9,12.3,31.7,4.9,31.2,18563935.0,69.6,30.4,15.1,8.7,5.0,1.6
North Carolina,19.0,13.5,30.4,5.5,31.7,9342422.0,88.8,11.2,7.4,1.7,1.5,0.6
North Dakota,17.9,11.0,31.1,3.1,36.9,689505.0,94.5,5.5,1.4,2.5,0.6,1.0
Ohio,18.2,13.1,31.5,4.8,32.4,10904728.0,93.4,6.6,2.1,2.5,1.1,0.8
Oklahoma,16.3,14.1,32.6,6.4,30.6,3614253.0,90.0,10.0,6.7,1.1,1.4,0.8
Oregon,20.4,11.1,30.3,4.6,33.7,3743771.0,84.5,15.5,9.3,2.5,3.1,0.7
