HC01_EST_VC01,Population 5 years and over
HC01_EST_VC02,Speak only English
HC01_EST_VC03,Speak a language other than English
HC01_EST_VC04,Speak a language other than English - Spanish or Spanish Creole
HC01_EST_VC05,Speak a language other than English - Other Indo-European languages
HC01_EST_VC06,Speak a language other than English - Asian and Pacific Island languages
HC01_EST_VC07,Speak a language other than English - Other languages
